Title,Genre,Runtime,IMDB Score,Language,Release month,Release Day,Release Year
Enter the Anime,Documentary,58,2.5,English/Japanese,August,5,2019
Dark Forces,Thriller,81,2.6,Spanish,August,21,2020
The App,Science fiction/Drama,79,2.6,Italian,December,26,2019
The Open House,Horror thriller,94,3.2,English,January,19,2018
Kaali Khuhi,Mystery,90,3.4,Hindi,October,30,2020
Drive,Action,147,3.5,Hindi,November,1,2019
Leyla Everlasting,Comedy,112,3.7,Turkish,December,4,2020
The Last Days of American Crime,Heist film/Thriller,149,3.7,English,June,5,2020
Paradox,Musical/Western/Fantasy,73,3.9,English,March,23,2018
Sardar Ka Grandson,Comedy,139,4.1,Hindi,May,18,2021
Searching for Sheela,Documentary,58,4.1,English,April,22,2021
The Call,Drama,112,4.1,Korean,November,27,2020
Whipped,Romantic comedy,97,4.1,Indonesian,September,18,2020
All Because of You,Action comedy,101,4.2,Malay,October,1,2020
Mercy,Thriller,90,4.2,English,November,22,2016
After the Raid,Documentary,25,4.3,Spanish,December,19,2019
Ghost Stories,Horror anthology,144,4.3,Hindi,January,1,2020
The Last Thing He Wanted,Political thriller,115,4.3,English,February,21,2020
What Happened to Mr. Cha?,Comedy,102,4.3,Korean,January,1,2021
Death Note,Horror thriller,100,4.4,English,August,25,2017
"Hello Privilege. It's Me, Chelsea",Documentary,64,4.4,English,September,13,2019
Secret Obsession,Thriller,97,4.4,English,July,18,2019
Sextuplets,Comedy,99,4.4,English,August,16,2019
The Girl on the Train,Thriller,120,4.4,Hindi,February,26,2021
Thunder Force,Superhero-Comedy,105,4.4,English,April,9,2021
Fatal Affair,Thriller,89,4.5,English,July,16,2020
Just Say Yes,Romantic comedy,97,4.5,Dutch,April,2,2021
Seriously Single,Comedy,107,4.5,English,July,31,2020
The Misadventures of Hedi and Cokeman,Comedy,99,4.5,French,February,10,2021
5 Star Christmas,Comedy,95,4.6,Italian,December,7,2018
After Maria,Documentary,37,4.6,English/Spanish,May,24,2019
I Am the Pretty Thing That Lives in the House,Horror,89,4.6,English,October,28,2016
Paris Is Us,Romance drama,83,4.6,French,February,22,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,46,4.6,Portuguese,December,3,2019
Rattlesnake,Horror,85,4.6,English,October,25,2019
The Players,Comedy,88,4.6,Italian,July,15,2020
We Are One,Documentary,86,4.6,French,July,14,2020
Finding Agnes,Drama,105,4.7,Filipino,November,30,2020
IO,Science fiction/Drama,95,4.7,English,January,18,2019
Sentinelle,Action,80,4.7,French,March,5,2021
Sol Levante,Anime / Short,4,4.7,English,April,2,2020
The Binding,Drama,93,4.7,Italian,October,2,2020
We Can Be Heroes,Superhero,100,4.7,English,December,25,2020
Christmas Crossfire,Thriller,106,4.8,German,December,4,2020
Coin Heist,Heist,97,4.8,English,January,6,2017
Mrs. Serial Killer,Thriller,106,4.8,Hindi,May,1,2020
Nobody Sleeps in the Woods Tonight,Horror,103,4.8,Polish,October,28,2020
Take the 10,Comedy,80,4.8,English,January,20,2017
The Main Event,Comedy,101,4.8,English,April,10,2020
The Ridiculous 6,Western,119,4.8,English,December,11,2015
Earth and Blood,Action,80,4.9,French,April,17,2020
Fearless,Animation/Superhero,89,4.9,English,August,14,2020
Holiday Rush,Family film,94,4.9,English,November,28,2019
The Day of the Lord,Drama,93,4.9,Spanish,October,30,2020
Airplane Mode,Comedy,96,5.0,Portuguese,January,23,2020
How It Ends,Action-thriller,113,5.0,English,July,13,2018
Love Like the Falling Rain,Drama,86,5.0,Indonesian,October,15,2020
Rebirth,Thriller,100,5.0,English,July,15,2016
Squared Love,Romantic comedy,102,5.0,Polish,February,11,2021
Cadaver,Horror,86,5.1,Norwegian,October,22,2020
Clinical,Thriller,104,5.1,English,January,13,2017
Coffee & Kareem,Action comedy,88,5.1,English,April,3,2020
Dude,Teen comedy-drama,97,5.1,English,April,20,2018
Geez & Ann,Romantic drama,105,5.1,Indonesian,February,25,2021
The Larva Island Movie,Animation,90,5.1,English,July,23,2020
#REALITYHIGH,Comedy,99,5.2,English,September,8,2017
American Factory: A Conversation with the Obamas ,Aftershow / Interview,10,5.2,English,August,21,2019
Desperados,Romantic comedy,106,5.2,English,July,3,2020
Dolly Parton's Christmas on the Square,Christmas musical,98,5.2,English,November,22,2020
Father of the Year,Comedy,94,5.2,English,July,20,2018
Firebrand,Drama,112,5.2,Marathi,February,22,2019
Ghost Lab,Horror,117,5.2,Thai,May,26,2021
Girlfriend's Day,Comedy,70,5.2,English,February,14,2017
Handsome: A Netflix Mystery Movie,Comedy,81,5.2,English,May,5,2017
Hubie Halloween,Comedy,103,5.2,English,October,7,2020
Ibiza,Comedy,94,5.2,English,May,25,2018
Rim of the World,Science fiction adventure,98,5.2,English,May,24,2019
Sandy Wexler,Comedy,131,5.2,English,April,14,2017
See You Yesterday,Science fiction,87,5.2,English,May,17,2019
Still Laugh-In: The Stars Celebrate,Variety show,60,5.2,English,May,14,2019
"Strip Down, Rise Up",Documentary,112,5.2,English,February,5,2021
Tall Girl,Comedy-drama,102,5.2,English,September,13,2019
The Beast,Drama,99,5.2,Italian,November,27,2020
The Week Of,Comedy,116,5.2,English,April,27,2018
A Christmas Prince: The Royal Wedding,Romantic comedy,92,5.3,English,November,30,2018
Back to School,Comedy,83,5.3,French,August,30,2019
Dangerous Lies,Thriller,97,5.3,English,April,30,2020
Gunjan Saxena: The Kargil Girl,Drama,112,5.3,Hindi,August,12,2020
Intuition,Thriller,116,5.3,Spanish,May,28,2020
The Most Assassinated Woman in the World,Thriller,102,5.3,French,September,7,2018
Things Heard & Seen,Horror,121,5.3,English,April,29,2021
"To Each, Her Own",Romantic comedy,95,5.3,French,June,24,2018
Who Would You Take to a Deserted Island?,Drama,93,5.3,Spanish,April,12,2019
XOXO,Drama,92,5.3,English,August,26,2016
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,98,5.4,English,October,15,2020
A Christmas Prince: The Royal Baby,Romantic comedy,85,5.4,English,December,5,2019
Despite Everything,Comedy,78,5.4,Spanish,May,3,2019
Dolly Kitty and Those Twinkling Stars,Drama,120,5.4,Hindi,September,18,2020
Freaks: You're One of Us,Supernatural drama,92,5.4,German,September,2,2020
"Game Over, Man!",Action/Comedy,101,5.4,English,March,23,2018
Guilty,Thriller,119,5.4,Hindi,March,6,2020
In the Tall Grass,Horror,101,5.4,English,October,4,2019
Madame Claude,Drama,112,5.4,French,April,2,2021
Naked,Comedy,96,5.4,English,August,11,2017
Outside the Wire,Action/Science fiction,114,5.4,English,January,15,2021
The Princess Switch: Switched Again,Romantic comedy,97,5.4,English,November,19,2020
Under the Riccione Sun,Romantic teenage drama,101,5.4,Italian,July,1,2020
A Very Murray Christmas,Comedy / Musical,56,5.5,English,December,4,2015
Been So Long,Musical,100,5.5,English,October,26,2018
Dead Kids,Thriller,94,5.5,Filipino,December,1,2019
Get the Grift,Comedy,94,5.5,Portuguese,April,28,2021
House Arrest,Comedy,104,5.5,Hindi,November,15,2019
Kevin Hart's Guide to Black History,Variety show,63,5.5,English,February,8,2019
Love Wedding Repeat,Romantic comedy,100,5.5,English,April,10,2020
Mute,Science fiction/Mystery,126,5.5,English,February,23,2018
Òlòt?ré,Crime drama,106,5.5,English,October,2,2020
Red Dot,Thriller,86,5.5,Swedish,February,11,2021
Ride or Die,Psychological thriller drama,142,5.5,Japanese,April,15,2021
Step Sisters,Comedy,108,5.5,English,January,19,2018
The Cloverfield Paradox,Science fiction,102,5.5,English,February,4,2018
The Knight Before Christmas,Romantic comedy,92,5.5,English,November,21,2019
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,83,5.5,English,July,6,2018
The Package,Black comedy,94,5.5,English,August,10,2018
Unicorn Store,Comedy,92,5.5,English,April,5,2019
Wine Country,Comedy,103,5.5,English,May,10,2019
Bomb Scared,Black comedy,89,5.6,Spanish/Basque,October,12,2017
Brahman Naman,Comedy,95,5.6,English,July,7,2016
Double Dad,Comedy-drama,103,5.6,Portuguese,January,15,2021
Falling Inn Love,Romantic comedy,97,5.6,English,August,29,2019
Hold the Dark,Thriller,125,5.6,English,September,28,2018
"Love, Guaranteed",Romantic comedy,91,5.6,English,September,3,2020
One-Way to Tomorrow,Romance,90,5.6,Turkish,June,19,2020
Sarah Cooper: Everything's Fine,Variety show,49,5.6,English,October,27,2020
The Last Laugh,Comedy-drama,98,5.6,English,January,11,2019
The Last Paradiso,Romantic drama,107,5.6,Italian,February,5,2021
The Midnight Sky,Science fiction,118,5.6,English,December,23,2020
The Paramedic,Thriller,94,5.6,Spanish,September,16,2020
The Sleepover,Comedy,103,5.6,English,August,21,2020
Vampires vs. the Bronx,Horror comedy,86,5.6,English,October,2,2020
Why Did You Kill Me?,Documentary,83,5.6,English,April,14,2021
A Week Away,Christian musical,97,5.7,English,March,26,2021
Caught by a Wave,Romantic teen drama,99,5.7,Italian,March,25,2021
Christmas Inheritance,Romantic drama,104,5.7,English,December,15,2017
Dad Wanted,Family,102,5.7,Spanish,September,11,2020
El Camino Christmas,Dark comedy,89,5.7,English,December,8,2017
Eli,Horror,98,5.7,English,October,18,2019
Ginny Weds Sunny,Romantic comedy,125,5.7,Hindi,October,9,2020
Good Sam,Drama,89,5.7,English,May,16,2019
Lionheart,Comedy,94,5.7,English,January,4,2019
Little Evil,Comedy horror,94,5.7,English,September,1,2017
One Take,Documentary,85,5.7,Thai,June,18,2020
"Out of Many, One",Documentary,34,5.7,English,December,12,2018
Point Blank,Action,86,5.7,English,July,12,2019
Prime Time,Thriller,91,5.7,Polish,April,14,2021
The Do-Over,Action comedy,108,5.7,English,May,27,2016
The Holiday Calendar,Romantic comedy,95,5.7,English,November,2,2018
The Woman in the Window,Psychological thriller,100,5.7,English,May,14,2021
The Wrong Missy,Comedy,90,5.7,English,May,13,2020
Velvet Buzzsaw,Thriller,112,5.7,English,February,1,2019
Yes Day,Comedy,86,5.7,English,March,12,2021
15 August,Comedy-drama,124,5.8,Marathi,March,29,2019
A California Christmas,Romantic comedy,107,5.8,English,December,14,2020
A Christmas Prince,Romantic comedy,92,5.8,English,November,17,2017
All Day and a Night,Drama,121,5.8,English,May,1,2020
American Son,Drama,90,5.8,English,November,1,2019
Barry,Biopic,104,5.8,English,December,16,2016
Candy Jar,Comedy,92,5.8,English,April,27,2018
Choked: Paisa Bolta Hai,Drama,114,5.8,Hindi,June,5,2020
Class of '83,Drama,98,5.8,Hindi,August,21,2020
Extinction,Science fiction/Thriller,95,5.8,English,July,27,2018
Happy Anniversary,Romantic comedy,78,5.8,English,March,30,2018
I Am All Girls,Thriller,107,5.8,English,May,14,2021
Let It Snow,Romantic comedy,92,5.8,English,November,8,2019
Mascots,Mockumentary,95,5.8,English,October,13,2016
Operation Christmas Drop,Romantic comedy,96,5.8,English,November,5,2020
Rajma Chawal,Comedy-drama,118,5.8,Hindi,November,30,2018
Rich in Love,Romantic comedy,105,5.8,Portuguese,April,30,2020
Rising High,Satire,94,5.8,German,April,17,2020
Rodney King,One-man show,52,5.8,English,April,28,2017
Sierra Burgess Is a Loser,Romantic comedy-drama,105,5.8,English,September,7,2018
Small Crimes,Dark comedy,95,5.8,English,April,28,2017
Special Correspondents,Satire,100,5.8,English,April,29,2016
TAU,Science fiction/Thriller,97,5.8,English,June,29,2018
The After Party,Comedy,89,5.8,English,August,24,2018
The Babysitter: Killer Queen,Comedy/Horror,102,5.8,English,September,10,2020
The Claus Family,Fantasy,96,5.8,Dutch,December,7,2020
The Kissing Booth 2,Romantic comedy,131,5.8,English,July,24,2020
The Perfect Date,Romantic comedy,89,5.8,English,April,12,2019
What We Wanted,Drama,93,5.8,German,November,11,2020
You've Got This,Romantic comedy,111,5.8,Spanish,October,2,2020
6 Balloons,Drama,75,5.9,English,April,6,2018
A Fall from Grace,Thriller,120,5.9,English,January,17,2020
Amateur,Sports-drama,96,5.9,English,April,6,2018
Army of the Dead,Zombie/Heist,148,5.9,English,May,21,2021
Cam,Psychological horror,94,5.9,English,November,16,2018
Earthquake Bird,Mystery,107,5.9,English,November,15,2019
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,32,5.9,English,July,16,2019
Horse Girl,Drama,104,5.9,English,February,7,2020
Notes from Dunblane: Lesson from a School Shooting,Documentary,23,5.9,English,September,28,2018
Maska,Romantic comedy,111,5.9,Hindi,March,27,2020
The Decline,Thriller,83,5.9,French,March,27,2020
The Minimalists: Less Is Now,Documentary,53,5.9,English,January,1,2021
The Polka King,Comedy-drama,95,5.9,English,January,12,2018
The Prom,Musical,132,5.9,English,December,11,2020
True Memoirs of an International Assassin,Action comedy,98,5.9,English,November,11,2016
Ultras,Sports film,108,5.9,Italian,March,20,2020
Come Sunday,Biopic,106,6.0,English,April,13,2018
Forgive Us Our Debts,Drama,104,6.0,Italian,May,4,2018
iBoy,Science fiction/Thriller,90,6.0,English,January,27,2017
Lovefucked,Drama,106,6.0,Hindi,August,9,2019
Juanita,Drama,90,6.0,English,March,8,2019
Murder Mystery,Comedy mystery,97,6.0,English,June,14,2019
Project Power,Superhero,113,6.0,English,August,14,2020
Rebecca,Romantic thriller,123,6.0,English,October,21,2020
The Christmas Chronicles: Part Two,Christmas comedy,115,6.0,English,November,25,2020
The Kissing Booth,Romantic comedy,105,6.0,English,May,11,2018
The Princess Switch,Romantic comedy,101,6.0,English,November,16,2018
To All the Boys: P.S. I Still Love You,Romantic comedy,102,6.0,English,February,12,2020
War Machine,War-Comedy,122,6.0,English,May,26,2017
6 Underground,Action,128,6.1,English,December,13,2019
Between Two Ferns: The Movie,Comedy,82,6.1,English,September,20,2019
Burning Sands,Drama,102,6.1,English,March,10,2017
Casting JonBenet,Documentary,80,6.1,English,April,28,2017
Deidra & Laney Rob a Train,Drama,94,6.1,English,March,17,2017
Finding 'Ohana,Family,123,6.1,English,January,29,2021
Holidate,Romantic comedy/Holiday,104,6.1,English,October,28,2020
Holiday in the Wild,Adventure-romance,85,6.1,English,November,1,2019
Hot Girls Wanted,Documentary,84,6.1,English,May,29,2015
Like Father,Comedy,103,6.1,English,August,3,2018
Lost Girls,Crime drama,95,6.1,English,March,13,2020
Otherhood,Comedy,100,6.1,English,August,2,2019
Pee-wee's Big Holiday,Adventure,89,6.1,English,March,18,2016
Rogue City,Crime drama,116,6.1,French,October,30,2020
Sergio,Biopic,118,6.1,English,April,17,2020
Stuck Apart,Drama,96,6.1,Turkish,January,8,2021
Tersanjung the Movie,Drama,114,6.1,Indonesian,April,1,2021
The Killer,Western,99,6.1,Portuguese,November,10,2017
The Lovebirds,Romantic comedy,87,6.1,English,May,22,2020
The Most Hated Woman in America,Biopic,92,6.1,English,March,24,2017
The Perfection,Horror-thriller,90,6.1,English,May,24,2019
Tribhanga  Tedhi Medhi Crazy,Drama,95,6.1,Hindi,January,15,2021
Unknown Origins,Thriller,96,6.1,Spanish,August,28,2020
Work It,Dance comedy,93,6.1,English,August,7,2020
Alien Xmas,Stop Motion,42,6.2,English,November,20,2020
Baggio: The Divine Ponytail,Biopic,92,6.2,Italian,May,26,2021
Below Zero,Drama,106,6.2,Spanish,January,29,2021
Citation,Drama,151,6.2,English,November,6,2020
Crazy Awesome Teachers,Comedy-drama,101,6.2,Indonesian,August,17,2020
Have You Ever Seen Fireflies?,Comedy,114,6.2,Turkish,April,9,2021
High Flying Bird,Sports-drama,90,6.2,English,February,8,2019
In the Shadow of the Moon,Thriller,115,6.2,English,September,27,2019
Lost Bullet,Thriller,92,6.2,French,June,19,2020
Octonauts & the Caves of Sac Actun,Animation,72,6.2,English,August,14,2020
Offering to the Storm,Thriller,139,6.2,Spanish,July,24,2020
Roxanne Roxanne,Biopic,98,6.2,English,March,23,2018
Someone Great,Romantic comedy,92,6.2,English,April,19,2019
Spenser Confidential,Action comedy,111,6.2,English,March,6,2020
The Land of Steady Habits,Drama,98,6.2,English,September,14,2018
The Rachel Divide,Documentary,104,6.2,English,April,27,2018
Voyuer ,Documentary,95,6.2,English,December,1,2017
Win It All,Comedy,88,6.2,English,April,7,2017
1922,Horror/Crime drama,102,6.3,English,October,20,2017
A Tale of Two Kitchens,Documentary,30,6.3,English/Spanish,May,22,2019
Alex Strangelove,Romantic comedy,99,6.3,English,June,8,2018
Apostle,Horror-thriller,129,6.3,English,October,12,2018
Benji,Family film,87,6.3,English,March,16,2018
Bright,Urban fantasy,117,6.3,English,December,22,2017
Cargo,Drama/Horror,104,6.3,English,May,18,2018
Concrete Cowboy,Drama,111,6.3,English,April,2,2021
Feel the Beat,Family/Comedy-drama,107,6.3,English,June,19,2020
Get the Goat,Comedy,97,6.3,Portuguese,March,18,2021
I Am Not an Easy Man,Romantic comedy,98,6.3,French,April,13,2018
June & Kopi,Drama,90,6.3,Indonesian,January,28,2021
Music Teacher,Drama,101,6.3,Hindi,April,19,2019
Nail Bomber: Manhunt,Documentary,72,6.3,English,May,26,2021
Notes for My Son,Drama,83,6.3,Spanish,November,24,2020
Polar,Action,118,6.3,English,January,25,2019
Porta dos Fundos: The Last Hangover,Comedy,44,6.3,Portuguese,December,21,2018
Sand Castle,War,113,6.3,English,April,21,2017
Shimmer Lake,Crime thriller,86,6.3,English,June,9,2017
Spectral,Science fiction/Action,108,6.3,English,December,9,2016
The Babysitter,Teen comedy horror,85,6.3,English,October,13,2017
The Discovery,Science fiction/Drama,102,6.3,English,March,31,2017
The Forest of Love,Drama,151,6.3,Japanese,October,11,2019
The Laundromat,Comedy-drama,98,6.3,English,October,18,2019
The Legend of Cocaine Island,Documentary,87,6.3,English,March,29,2019
The Outsider,Crime drama,120,6.3,English/Japanese,March,9,2018
Time to Hunt,Thriller,134,6.3,Korean,April,23,2020
To All the Boys: Always and Forever,Romantic comedy,109,6.3,English,February,12,2021
Travis Scott: Look Mom I Can Fly,Documentary,85,6.3,English,August,28,2019
Uncorked,Drama,103,6.3,English,March,27,2020
Anelka: Misunderstood,Documentary,94,6.4,French,August,5,2020
"Ariana Grande: Excuse Me, I Love You",Concert Film,97,6.4,English,December,21,2020
ARQ,Science fiction/Thriller,88,6.4,English,September,16,2016
Birders,Documentary,37,6.4,English/Spanish,September,25,2019
Como Caído del Cielo,Musical comedy,112,6.4,Spanish,December,24,2019
First Match,Sports-drama,102,6.4,English,March,30,2018
Fractured,Thriller,100,6.4,English,October,11,2019
Irreplaceable You,Drama,96,6.4,English,February,16,2018
Isi & Ossi,Romantic comedy,113,6.4,German,February,14,2020
John Was Trying to Contact Aliens,Documentary,16,6.4,English,August,20,2020
Layla Majnun,Romantic drama,119,6.4,Indonesian,February,11,2021
Murder to Mercy: The Cyntoia Brown Story,Documentary,97,6.4,English,April,29,2020
